Start time,Location,Time of a day,Object,Posture,Duration,Activity
12:22:46 AM,Bedroom,Night,Hall-Bedroom door,Sitting,33086,go to bed
9:37:17 AM,Bathroom,Morning,Hall-Bathroom door,Sitting,45,use toilet
9:49:23 AM,Kitchen,Morning,Plates cupboard,Standing,245,prepare Breakfast
10:02:28 AM,Toilet,Morning,Hall-Toilet door,Sitting,614,take shower
10:19:06 AM,Front,Morning,Frontdoor,Standing,23792,leave house
4:58:45 PM,Kitchen,Afternoon,Fridge,Lying,71,store groceries
5:00:31 PM,Bathroom,Afternoon,Hall-Bathroom door,Lying,63,use toilet
5:54:55 PM,Kitchen,Afternoon,Fridge,Sitting,63,get drink
6:31:54 PM,Bathroom,Evening,Hall-Bathroom door,Sitting,104,use toilet
7:40:26 PM,Kitchen,Evening,Groceries Cupboard,Sitting,2552,prepare Dinner
8:23:12 PM,Kitchen,Evening,Fridge,Sitting,23,get drink
9:51:29 PM,Bathroom,Evening,Hall-Bathroom door,Sitting,67,use toilet
9:55:32 PM,Kitchen,Evening,Plates cupboard,Standing,216,get snack
11:21:15 PM,Bedroom,Evening,Hall-Bedroom door,Sitting,50745,go to bed
11:28:30 PM,Bathroom,Evening,Hall-Bathroom door,Lying,44,use toilet
12:39:24 AM,Toilet,Night,Hall-Toilet door,Sitting,16,use toilet
3:13:40 AM,Bathroom,Night,Hall-Bathroom door,Standing,61,use toilet
8:35:59 AM,Bedroom,Morning,Hall-Bedroom door,Standing,39,use toilet
9:15:40 AM,Bedroom,Morning,Hall-Bedroom door,Lying,200,use toilet
9:26:42 AM,Kitchen,Morning,Plates cupboard,Lying,147,prepare Breakfast
9:48:07 AM,Toilet,Morning,Hall-Toilet door,Lying,649,take shower
10:05:59 AM,Front,Morning,Frontdoor,Sitting,37701,leave house
9:02:34 PM,Bathroom,Evening,Hall-Bathroom door,Sitting,88,use toilet
9:39:23 PM,Kitchen,Evening,Fridge,Standing,49,get drink
10:56:00 PM,Bathroom,Evening,Hall-Bathroom door,Standing,171,use toilet
11:01:33 PM,Bathroom,Evening,Hall-Bathroom door,Sitting,54045,go to bed
5:29:11 AM,Bathroom,Night,Hall-Bathroom door,Sitting,75,use toilet
8:01:22 AM,Kitchen,Morning,Plates cupboard,Sitting,96,prepare Breakfast
